organisation_code,start_date,end_date,description,source_file
SOId_XX-school,2024-09-02,2024-10-25,School vacation in free public holidays regulation,404-21-404-_-y05-2_1.xml
SOId_XX-school,2024-11-04,2024-12-20,School vacation in free public holidays regulation,404-21-404-_-y05-2_1.xml
SOId_XX-school,2025-01-06,2025-02-14,School vacation in free public holidays regulation,404-21-404-_-y05-2_1.xml
SOId_XX-school,2025-02-24,2025-04-04,School vacation in free public holidays regulation,404-21-404-_-y05-2_1.xml
SOId_XX-school,2025-04-22,2025-05-23,School vacation in free public holidays regulation,404-21-404-_-y05-2_1.xml
SOId_XX-school,2025-06-02,2025-07-22,School vacation in free public holidays regulation,404-21-404-_-y05-2_1.xml
SOId_XX-school,2025-11-22,2025-11-28,,tfl_21-404-_-y05-6_qyPH39c.xml
SOId_XX-school,2025-04-26,2025-05-25,,tfl_21-464-_-y05-55535.xml
SOId_XX-school,2025-05-31,2025-07-22,,tfl_21-464-_-y05-55535.xml
SOId_XX-school,2025-09-01,2025-10-26,,tfl_21-464-_-y05-55535.xml
SOId_XX-school,2025-11-01,2025-12-23,,tfl_21-464-_-y05-55535.xml
SOId_XX-school,2025-11-22,2025-11-28,,tfl_21-464-_-y05-55538.xml
SOId_XX-school,2025-11-29,2025-12-21,,tfl_21-464-_-y05-55539.xml
SOId_XX-school,2026-01-03,2026-02-15,,tfl_21-464-_-y05-55539.xml
SOId_XX-school,2026-02-21,2026-03-29,,tfl_21-464-_-y05-55539.xml
SOId_XX-school,2026-04-11,2026-05-24,,tfl_21-464-_-y05-55539.xml
SOId_XX-school,2026-05-30,2026-07-20,,tfl_21-464-_-y05-55539.xml
SOId_XX-school,2026-09-03,2026-10-25,,tfl_21-464-_-y05-55539.xml
SOId_XX-school,2026-10-31,2026-12-20,,tfl_21-464-_-y05-55539.xml
