common_name,file_name,latitude,longitude,stop_id
Byron Avenue (CR5) (->S) Coulsdon,404-21-404-_-y05-2_1.xml,,,490004667S
Blueberry Gardens (->S) Coulsdon South,404-21-404-_-y05-2_1.xml,,,490004116S
Coulsdon Wood (->W) Coulsdon South,404-21-404-_-y05-2_1.xml,,,490011820W
Nineacres Way (->W) Coulsdon South,404-21-404-_-y05-2_1.xml,,,490010285W
Marlpit Lane (->S) Coulsdon South,404-21-404-_-y05-2_1.xml,,,490009684S
Coulsdon South (Stop P) Coulsdon South,404-21-404-_-y05-2_1.xml,,,490001072P
Lime Tree Avenue (->N) Coulsdon,404-21-404-_-y05-2_1.xml,,,490002174Y
Tullick Way (->W) Coulsdon,404-21-404-_-y05-2_1.xml,,,490002175Y
Salter Close (->W) Coulsdon,404-21-404-_-y05-2_1.xml,,,490002176Y
Shaftesbury Lane (->W) Coulsdon,404-21-404-_-y05-2_1.xml,,,490002177Y
Territorial Army Centre,tfl_21-404-_-y05-6_qyPH39c.xml,,,490013199W
Coulsdon South,tfl_21-404-_-y05-6_qyPH39c.xml,,,490001072M
Coulsdon South,tfl_21-404-_-y05-6_qyPH39c.xml,,,490001072P
Coulsdon Town,tfl_21-404-_-y05-6_qyPH39c.xml,,,490001253B
Lime Tree Avenue,tfl_21-404-_-y05-6_qyPH39c.xml,,,490002174Y
Lime Tree Avenue,tfl_21-404-_-y05-6_qyPH39c.xml,,,490002174Z
Tullick Way,tfl_21-404-_-y05-6_qyPH39c.xml,,,490002175Z
Tullick Way,tfl_21-404-_-y05-6_qyPH39c.xml,,,490002175Y
Salter Close,tfl_21-404-_-y05-6_qyPH39c.xml,,,490002176Z
Salter Close,tfl_21-404-_-y05-6_qyPH39c.xml,,,490002176Y
Shaftesbury Lane,tfl_21-404-_-y05-6_qyPH39c.xml,,,490002177Z
Shaftesbury Lane,tfl_21-404-_-y05-6_qyPH39c.xml,,,490002177Y
Crawford Crescent,tfl_21-404-_-y05-6_qyPH39c.xml,,,490002178Z
Middle Close,tfl_21-404-_-y05-6_qyPH39c.xml,,,490002179Z
Lacey Green / Goodenough Way,tfl_21-404-_-y05-6_qyPH39c.xml,,,490002180Z
The Admirals Walk,tfl_21-404-_-y05-6_qyPH39c.xml,,,490002181Z
Ellis Road,tfl_21-404-_-y05-6_qyPH39c.xml,,,490002182Z
Lacey Green / Ellis Road,tfl_21-404-_-y05-6_qyPH39c.xml,,,490002183Z
Tollers Lane / Curling Close,tfl_21-404-_-y05-6_qyPH39c.xml,,,490002184Z
Tollers Lane / Drive Road,tfl_21-404-_-y05-6_qyPH39c.xml,,,490002185Z
Farthing Way,tfl_21-404-_-y05-6_qyPH39c.xml,,,490002189Z
Aldercroft,tfl_21-404-_-y05-6_qyPH39c.xml,,,49003176N1
Blueberry Gardens,tfl_21-404-_-y05-6_qyPH39c.xml,,,490004116N
Blueberry Gardens,tfl_21-404-_-y05-6_qyPH39c.xml,,,490004116S
Byron Avenue (CR5),tfl_21-404-_-y05-6_qyPH39c.xml,,,490004667S
Hambledon Road,tfl_21-404-_-y05-6_qyPH39c.xml,,,40004410090A
Caterham-on-the-Hill / Tesco,tfl_21-404-_-y05-6_qyPH39c.xml,,,40004410091A
Caterham-on-the-Hill / Tesco,tfl_21-404-_-y05-6_qyPH39c.xml,,,40004410091B
Taunton Lane (CR5),tfl_21-404-_-y05-6_qyPH39c.xml,,,490004859S
Court Road (CR3),tfl_21-404-_-y05-6_qyPH39c.xml,,,40004410089B
Coulsdon Common / The Fox,tfl_21-404-_-y05-6_qyPH39c.xml,,,490005638N
Coulsdon Common / The Fox,tfl_21-404-_-y05-6_qyPH39c.xml,,,490005638S
Coulsdon Court Road,tfl_21-404-_-y05-6_qyPH39c.xml,,,490005639N
Coulsdon Court Road,tfl_21-404-_-y05-6_qyPH39c.xml,,,490005639S
Coulsdon Library,tfl_21-404-_-y05-6_qyPH39c.xml,,,490005637C
