vehicle_journey_code,days_of_week,bank_holidays_operation,bank_holidays_non_operation,source_file
VJ189,Saturday,GoodFriday,"ChristmasDay,BoxingDay,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",404-21-404-_-y05-2_1.xml
VJ190,Saturday,GoodFriday,"ChristmasDay,BoxingDay,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",404-21-404-_-y05-2_1.xml
VJ191,Saturday,GoodFriday,"ChristmasDay,BoxingDay,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",404-21-404-_-y05-2_1.xml
VJ192,Saturday,GoodFriday,"ChristmasDay,BoxingDay,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",404-21-404-_-y05-2_1.xml
VJ193,Saturday,GoodFriday,"ChristmasDay,BoxingDay,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",404-21-404-_-y05-2_1.xml
VJ194,Saturday,GoodFriday,"ChristmasDay,BoxingDay,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",404-21-404-_-y05-2_1.xml
VJ195,Saturday,GoodFriday,"ChristmasDay,BoxingDay,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",404-21-404-_-y05-2_1.xml
VJ196,Saturday,GoodFriday,"ChristmasDay,BoxingDay,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",404-21-404-_-y05-2_1.xml
VJ197,Saturday,GoodFriday,"ChristmasDay,BoxingDay,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",404-21-404-_-y05-2_1.xml
VJ198,Saturday,GoodFriday,"ChristmasDay,BoxingDay,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",404-21-404-_-y05-2_1.xml
VJ199,Saturday,GoodFriday,"ChristmasDay,BoxingDay,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",404-21-404-_-y05-2_1.xml
VJ200,Saturday,GoodFriday,"ChristmasDay,BoxingDay,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",404-21-404-_-y05-2_1.xml
VJ201,Saturday,GoodFriday,"ChristmasDay,BoxingDay,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",404-21-404-_-y05-2_1.xml
VJ202,Saturday,GoodFriday,"ChristmasDay,BoxingDay,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",404-21-404-_-y05-2_1.xml
VJ203,Saturday,GoodFriday,"ChristmasDay,BoxingDay,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",404-21-404-_-y05-2_1.xml
VJ204,Saturday,GoodFriday,"ChristmasDay,BoxingDay,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",404-21-404-_-y05-2_1.xml
VJ_21-404-_-y05-6-1-MFSc,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-2-MFSc,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-3-MFSc,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-4-MFSc,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-5-MFSc,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-6-MFSc,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-7-MFSc,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-8-MFSc,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-9-MFSc,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-10-MFSc,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-11-MFSc,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-12-MFSc,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-13-MFSc,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-14-MFSc,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-15-MFSc,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-16-MFSc,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-17-MFSc,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-18-MFSc,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-19-MFSc,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-20-MFSc,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-21-MFSc,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-22-MFSc,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-23-MFSc,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-24-MFSc,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-25-MFSc,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-26-MFSc,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-27-MFSc,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-28-MFSc,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-29-MFSc,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-30-MFSc,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-31-MFSc,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-32-MFSc,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-33-MFSc,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-34-MFSc,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-35-MFSc,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-36-MFSc,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-37-MFSc,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-38-MFSc,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-39-MFSc,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-40-MFSc,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-41-MFSc,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-42-MFSc,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-43-MFSc,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-44-MFSc,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-45-MFSc,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-46-MFSc,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-47-MFSc,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-48-MFSc,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-49-MFSc,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-50-MFSc,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-51-MFSc,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-1-Sa,Saturday,,,tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-2-Sa,Saturday,,,tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-3-Sa,Saturday,,,tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-4-Sa,Saturday,,,tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-5-Sa,Saturday,,,tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-6-Sa,Saturday,,,tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-7-Sa,Saturday,,,tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-8-Sa,Saturday,,,tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-9-Sa,Saturday,,,tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-10-Sa,Saturday,,,tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-11-Sa,Saturday,,,tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-12-Sa,Saturday,,,tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-13-Sa,Saturday,,,tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-14-Sa,Saturday,,,tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-15-Sa,Saturday,,,tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-16-Sa,Saturday,,,tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-17-Sa,Saturday,,,tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-18-Sa,Saturday,,,tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-19-Sa,Saturday,,,tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-20-Sa,Saturday,,,tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-21-Sa,Saturday,,,tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-22-Sa,Saturday,,,tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-23-Sa,Saturday,,,tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-24-Sa,Saturday,,,tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-25-Sa,Saturday,,,tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-26-Sa,Saturday,,,tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-27-Sa,Saturday,,,tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-28-Sa,Saturday,,,tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-29-Sa,Saturday,,,tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-30-Sa,Saturday,,,tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-31-Sa,Saturday,,,tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-32-Sa,Saturday,,,tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-33-Sa,Saturday,,,tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-34-Sa,Saturday,,,tfl_21-404-_-y05-6_qyPH39c.xml
VJ_21-404-_-y05-6-35-Sa,Saturday,,,tfl_21-404-_-y05-6_qyPH39c.xml
