vehicle_journey_code,days_of_week,bank_holidays_operation,bank_holidays_non_operation,source_file
VJ22,Sunday,"NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank","ChristmasDay,BoxingDay,GoodFriday,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",404-21-404-_-y05-2_1.xml
VJ23,Sunday,"NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank","ChristmasDay,BoxingDay,GoodFriday,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",404-21-404-_-y05-2_1.xml
VJ24,Sunday,"NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank","ChristmasDay,BoxingDay,GoodFriday,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",404-21-404-_-y05-2_1.xml
VJ25,Sunday,"NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank","ChristmasDay,BoxingDay,GoodFriday,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",404-21-404-_-y05-2_1.xml
VJ26,Sunday,"NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank","ChristmasDay,BoxingDay,GoodFriday,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",404-21-404-_-y05-2_1.xml
VJ27,Sunday,"NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank","ChristmasDay,BoxingDay,GoodFriday,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",404-21-404-_-y05-2_1.xml
VJ28,Sunday,"NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank","ChristmasDay,BoxingDay,GoodFriday,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",404-21-404-_-y05-2_1.xml
VJ29,Sunday,"NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank","ChristmasDay,BoxingDay,GoodFriday,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",404-21-404-_-y05-2_1.xml
VJ30,Sunday,"NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank","ChristmasDay,BoxingDay,GoodFriday,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",404-21-404-_-y05-2_1.xml
VJ31,Sunday,"NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank","ChristmasDay,BoxingDay,GoodFriday,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",404-21-404-_-y05-2_1.xml
VJ32,Sunday,"NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank","ChristmasDay,BoxingDay,GoodFriday,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",404-21-404-_-y05-2_1.xml
VJ33,Sunday,"NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank","ChristmasDay,BoxingDay,GoodFriday,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",404-21-404-_-y05-2_1.xml
VJ34,Sunday,"NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank","ChristmasDay,BoxingDay,GoodFriday,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",404-21-404-_-y05-2_1.xml
VJ35,Sunday,"NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank","ChristmasDay,BoxingDay,GoodFriday,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",404-21-404-_-y05-2_1.xml
VJ36,Sunday,"NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank","ChristmasDay,BoxingDay,GoodFriday,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",404-21-404-_-y05-2_1.xml
VJ37,Sunday,"NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank","ChristmasDay,BoxingDay,GoodFriday,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",404-21-404-_-y05-2_1.xml
VJ38,Sunday,"NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank","ChristmasDay,BoxingDay,GoodFriday,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",404-21-404-_-y05-2_1.xml
VJ39,Sunday,"NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank","ChristmasDay,BoxingDay,GoodFriday,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",404-21-404-_-y05-2_1.xml
VJ40,Sunday,"NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank","ChristmasDay,BoxingDay,GoodFriday,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",404-21-404-_-y05-2_1.xml
VJ41,Sunday,"NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank","ChristmasDay,BoxingDay,GoodFriday,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",404-21-404-_-y05-2_1.xml
